is_kolu,isim,osm_id
restoran,Lezzet çiğ borek,5113609496
restoran,Sofi Döner,5113609508
restoran,Özcanlar kebap salonu,5113610120
restoran,Özen sariyer borekçisi,5113611423
restoran,Yıldız borek,5113611443
restoran,Sefa pide,5113611444
restoran,İkram,5113611451
restoran,Cadde Kebap,5113611457
restoran,Ulu kardeşler,5113611463
restoran,Et ustası,5113611475
restoran,Özen sariyer boreği,5113611476
restoran,Çelik et ve tavuk durumları,5113611483
restoran,Yaprak pide,5113611497
restoran,Semsur çiğkofte,5113611519
restoran,Kaçar borek salonu,5113612622
restoran,Konak Bufe,5113612623
restoran,Emir sultan,5115933151
restoran,Çiğ köftecim,5115933166
restoran,Çiğköfte Park,5115933177
restoran,Merdane Börek,5115933188
restoran,Seyran Pastaneleri,5115933199
restoran,Şenol,5115933201
restoran,Birbey Lahmacun,5115933204
restoran,Miss Kokoreç,5115933219
restoran,Yaman Dondurma,5115933923
restoran,Nizam Usta,5115933926
restoran,Elif Pastanesi,5115935417
restoran,Mir Börek Cafe,5115937195
restoran,Gaziantep'li Künefeci Ömer Usta,5115937213
restoran,Avcı Kebap,5115937214
restoran,Mırra Kahvaltı Salonu,5115937217
restoran,Başaran Yufka Ve Manti,5115937321
restoran,Beyaz Saray Dondurma Ve Boza,5115937340
restoran,Crazy Chicken,5115937341
restoran,KEBAPCI CAHIT USTA,5115937363
restoran,Pilavcı 1453,5115937368
restoran,Ziyafet Öiğköfte,5115937370
restoran,Baloon,5115937374
restoran,Komagehe Çiğköfte,5115937375
restoran,Gaziantep Zahter Sofrası,5115937378
restoran,Ada Balık Evim,5115937383
restoran,Goralı 1945,5115937389
restoran,Evrim Restoran,5115937391
restoran,Pilavcı Nazmi,5115937822
restoran,Osmanlı Tulumba ve Baklava,5115937823
restoran,Feyzi Usta Kadayıf ve Baklavaları,5115937824
restoran,Sürpriz Büfe,5115937834
restoran,Tatlıbak,5115937839
restoran,Karadeniz Pide-Börek Salonu,5115937857
restoran,Karadeniz Yayla Lokantası,5115937985
restoran,Kalite Börek Salonu,5115937987
restoran,Meydan Kahvaltı,5115937991
restoran,URFA SOFRASI HASAN USTA,5115938008
restoran,Hira Kebap ve Dürüm Evi,5115938123
restoran,Elif Büfe,5115938128
restoran,Tadım Unlu Mamulleri,5115938131
restoran,Paşa Kokoreç,5115938133
restoran,Al Baron Restaurant,5115939230
restoran,Nazlı Urfa Kebap Salonu,5115939234
restoran,köşem büfe,5115939261
restoran,Balkan Dondurma,5115939266
restoran,Üsküp Simit Pogaçası,5115939278
restoran,selam restaurant,5135309624
restoran,buhara börek,5135902724
restoran,adıyaman çiğ köfte,5146851322
restoran,Diyar Lahmacun,5147296722
restoran,Mr Kumpir,5147296723
restoran,Baydöner,5147296724
restoran,Tavuk Dünyası,5147296725
restoran,Waffle Stop,5147296726
restoran,Simit Sarayı,5197341621
restoran,Felek,5216386721
restoran,Selam Et Lokantası,5243945190
restoran,Sedet İskender,5243945193
restoran,Ziya Şark Sofrası,5243945198
restoran,Almanar,5243950176
